Species,benth. crust.,birds,cephalopods,cnidarians,detritus,echinoderms,finfish,fish (early stages),insects,jellyfish/hydroids,mammals,mollusks,other benth. invertebrates,other plank. invertebrates,other plants,others,plank. crust.,sponges/tunicates,worms
Aetomylaeus bovinus,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Bathyraja brachyurops,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
Centrophorus granulosus,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Centrophorus uyato,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chimaera monstrosa,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1
Dalatias licha,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Dasyatis pastinaca,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Dipturus batis,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
Dipturus oxyrinchus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etmopterus spinax,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
Galeus melastomus,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1
Heptranchias perlo,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hexanchus griseus,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Leucoraja circularis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leucoraja fullonica,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leucoraja melitensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucoraja naevus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mustelus asterias,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mustelus mustelus,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1
Mustelus punctulatus,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Myliobatis aquila,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
Oxynotus centrina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pteroplatytrygon violacea,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Raja asterias,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Raja brachyura,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Raja clavata,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Raja miraletus,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
Raja montagui,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raja polystigma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raja radula,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Rostroraja alba,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Scyliorhinus canicula,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
Scyliorhinus stellaris,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Squalus acanthias,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1
Squalus blainville,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tetronarce nobiliana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Torpedo marmorata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Torpedo torpedo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
