Species,Taxonomic Unit,W inf (kg),A,Diet,Depth (zones),T env,Q/B,P/B
Leucoraja melitensis,Rajidae,0.56,,c,12345,15.48290729522705,6.852258636537669,
Etmopterus spinax,Squaliformes,0.9883720930232558,1.08,c,2345,14.733993530273438,1.8533784755431435,4.898196618908729
Torpedo torpedo,Torpedinidae,1.2456404149751013,3.0,c,134,15.86998462677002,2.1873747463516238,4.275317310522967
Scyliorhinus canicula,Carcharhiniformes,1.5116279069767442,0.68,c,12345,15.48290729522705,1.7574742639483212,3.252233273615405
Galeus melastomus,Carcharhiniformes,1.627906976744186,1.23,c,2345,14.733993530273438,1.7954425152739324,4.5204105690104965
Raja asterias,Rajidae,2.293090413592464,,c,12345,15.48290729522705,5.4072764966123055,3.960517885878671
Leucoraja naevus,Rajidae,2.3377898206617145,,c,4,14.154172897338867,5.0987504893743205,3.926650898471987
Raja polystigma,Rajidae,2.693694092241162,,c,124,16.186677932739258,5.418874970391607,4.1967606245804525
Torpedo marmorata,Torpedinidae,2.7417650184825115,3.0,c,12345,15.48290729522705,2.0211896904536992,3.28588530446519
Chimaera monstrosa,Chimaeriformes,2.9069767441860463,0.31,c,2345,14.733993530273438,1.5801533126935907,2.4916495157873584
Raja montagui,Rajidae,3.0945036199941787,,c,1234,15.88431167602539,5.228159673502455,3.6113140837422693
Raja miraletus,Rajidae,3.3090680281603664,,c,12345,15.48290729522705,5.0841549560683035,3.5951365379033073
Raja radula,Rajidae,4.4228637850125265,,c,1,18.47856330871582,5.47763690278505,3.112055550924162
Squalus blainville,Squaliformes,5.316541214481066,1.86,c,12345,15.48290729522705,1.7339397077373,2.9600524138073676
Mustelus asterias,Carcharhiniformes,5.5813953488372094,0.86,c,1234,15.88431167602539,1.6040692289595055,2.3661516215459373
Tetronarce nobiliana,Torpedinidae,7.583123492138817,3.0,c,2345,14.733993530273438,1.814563485919909,2.432672608046014
Centrophorus uyato,Squaliformes,8.488372093023255,1.83,c,2345,14.733993530273438,1.6302669493004038,2.542383349091667
Oxynotus centrina,Squaliformes,9.186046511627907,1.67,c,2345,14.733993530273438,1.5975412217159146,2.7324245581422613
Heptranchias perlo,Hexanchiformes,10.30312780779269,0.79,c,12345,15.48290729522705,1.4962601583468103,2.458849741827805
Squalus acanthias,Squaliformes,10.408924167919002,1.4633333333333336,c,12345,15.48290729522705,1.5808304895238325,2.4259005160121094
Raja brachyura,Rajidae,10.842010523711336,,c,123,16.46102523803711,4.337453351003932,2.462343162657448
Leucoraja circularis,Rajidae,12.062782006709535,,c,345,14.336226463317873,3.8999221711346217,2.277501403755852
Dipturus oxyrinchus,Rajidae,13.33112360588326,,c,345,14.336226463317873,3.8349658574063734,2.4303575973191447
Raja clavata,Rajidae,13.567509397850426,,c,12345,15.48290729522705,4.011153790301472,2.2656912344516327
Leucoraja fullonica,Rajidae,16.0,,c,4,14.154172897338867,3.6908884591165725,
Pteroplatytrygon violacea,Myliobatiformes,18.77209870897139,7.0,c,3,14.977214813232422,2.347378541638664,1.8495453188475395
Mustelus mustelus,Carcharhiniformes,18.77536524428307,1.27,c,1234,15.88431167602539,1.4904784333952295,2.0581469411948703
Myliobatis aquila,Myliobatiformes,21.0,7.0,c,12,17.202930450439453,2.4489060290673423,2.135634732061715
Dalatias licha,Squaliformes,21.675282311872085,0.74,c,12345,15.48290729522705,1.3950463621888933,1.9106142334098282
Scyliorhinus stellaris,Carcharhiniformes,23.49415366671528,0.68,c,1234,15.88431167602539,1.3913345533643202,1.8423893420556503
Mustelus punctulatus,Carcharhiniformes,30.08482474469107,0.67,c,123,16.46102523803711,1.3785943951059783,1.821266730095342
Aetomylaeus bovinus,Myliobatiformes,30.927707588989918,7.0,c,1,18.47856330871582,2.437434251804137,1.6396024002813019
Bathyraja brachyurops,Rajiformes,34.59065019985931,,c,234,15.019561767578123,3.3620438554857612,1.6641001096129044
Centrophorus granulosus,Squaliformes,42.915290365282765,1.78,c,2345,14.733993530273438,1.4063829069501428,1.611547750087305
Rostroraja alba,Rajidae,48.92101818146635,,c,245,14.65291976928711,3.1236497460003605,1.4792179139807944
Dasyatis pastinaca,Myliobatiformes,58.29759917446942,7.0,c,234,15.019561767578123,2.1252836314065826,1.3160637698822908
Dipturus batis,Rajidae,93.47719779960617,,c,5,13.877289772033691,2.7120215392276776,1.1653374925694515
Hexanchus griseus,Hexanchiformes,589.3513776429581,0.94,c,12345,15.48290729522705,1.0585585276059768,0.6611057424194837
