,Species,W inf (kg),Taxonomic Unit
0,Leucoraja melitensis,0.56,Batoidea
1,Etmopterus spinax,0.988372093,Squalomorphii
2,Torpedo torpedo,1.245640415,Batoidea
3,Scyliorhinus canicula,1.511627907,Galeomorphii
4,Galeus melastomus,1.627906977,Galeomorphii
5,Raja asterias,2.293090414,Batoidea
6,Leucoraja naevus,2.337789821,Batoidea
7,Raja polystigma,2.693694092,Batoidea
8,Torpedo marmorata,2.741765018,Batoidea
9,Chimaera monstrosa,2.906976744,Holocephali
10,Raja montagui,3.09450362,Batoidea
11,Raja miraletus,3.309068028,Batoidea
12,Raja radula,4.422863785,Batoidea
13,Squalus blainville,5.316541214,Squalomorphii
14,Mustelus asterias,5.581395349,Galeomorphii
15,Tetronarce nobiliana,7.583123492,Batoidea
16,Centrophorus uyato,8.488372093,Squalomorphii
17,Oxynotus centrina,9.186046512,Squalomorphii
18,Heptranchias perlo,10.30312781,Squalomorphii
19,Squalus acanthias,10.40892417,Squalomorphii
20,Raja brachyura,10.84201052,Batoidea
21,Leucoraja circularis,12.06278201,Batoidea
22,Dipturus oxyrinchus,13.33112361,Batoidea
23,Raja clavata,13.5675094,Batoidea
24,Leucoraja fullonica,16,Batoidea
25,Pteroplatytrygon violacea,18.77209871,Batoidea
26,Mustelus mustelus,18.77536524,Galeomorphii
27,Myliobatis aquila,21,Batoidea
28,Dalatias licha,21.67528231,Squalomorphii
29,Scyliorhinus stellaris,23.49415367,Galeomorphii
30,Mustelus punctulatus,30.08482474,Galeomorphii
31,Aetomylaeus bovinus,30.92770759,Batoidea
32,Bathyraja brachyurops,34.5906502,Batoidea
33,Centrophorus granulosus,42.91529037,Squalomorphii
34,Rostroraja alba,48.92101818,Batoidea
35,Dasyatis pastinaca,58.29759917,Batoidea
36,Dipturus batis,93.4771978,Batoidea
37,Hexanchus griseus,589.3513776,Squalomorphii
